Markhamia platycalyx,0.45 
Memecylon capitellatum,0.77 
Microberlinia bisulcata,0.63 
Microberlinia brazzavillensis,0.70
Microcos coriaceus,0.42 
Milletia laurentii,0.70 
Milletia spp.,0.72
Mitragyna ciliata,0.45
Mitragyna stipulosa,0.47
Monopetalanthus coriaceus,0.45 
Monopetalanthus durandii,0.50 
Monopetalanthus heitzii,0.39
Monopetalanthus letestui,0.50 
Monopetalanthus pellegrinii,0.47 
Musanga cecropioides,0.23
Nauclea diderrichii,0.63
Neopoutonia macrocalyx,0.32 
Nesogordonia fouassieri,0.70 
Nesogordonia papaverifera,0.65
Newtonia buchananii,0.48 
Newtonia glandulifera,0.74 
Ochtocosmus africanus,0.78 
Odyendea gabonensis,0.32 
Odyendea spp.,0.32
Oldfieldia africana,0.78 
Ongokea gore,0.72
Oxystigma oxyphyllum,0.53
Pachyelasma tessmannii,0.70 
Pachypodanthium confine,0.58 
Pachypodanthium staudtii,0.58 
Paraberlinia bifoliolata,0.56 
Parinari excelsa,0.69
Parinari glabra,0.87 
Parinari goetzeniana,0.78 
Parkia bicolor,0.36 
Pausinystalia brachythyrsa,0.56 
Pausinystalia cf. talbotii,0.56 
Pentaclethra eetveldeana,0.63 
Pentaclethra macrophylla,0.78 
Pentadesma butyracea,0.78 
Phyllanthus discoideus,0.76 
Pierreodendron africanum,0.70 
Piptadenia gabunensis,0.70 
Piptadeniastrum africanum,0.56
Plagiostyles africana,0.70 
Poga oleosa,0.36
Polyalthia suaveolens,0.66 
Premna angolensis,0.63 
Pteleopsis hylodendron,0.63 
Pterocarpus angolensis,0.59
Pterocarpus soyauxii,0.61
Pterygota bequaertii,0.56 
Pterygota spp.,0.52
Pycnanthus angolensis,0.40
Randia cladantha,0.78 
Rauwolfia macrophylla,0.47 
Ricinodendron heudelotii,0.20
Saccoglottis gabonensis,0.74 
Santiria trimera,0.53 
Sapium ellipticum,0.50 
Schrebera arborea,0.63 
Sclorodophloeus zenkeri,0.68 
Scottellia chevalieri,0.50 
Scottellia coriacea,0.56
Scyphocephalium ochocoa,0.48
Scytopetalum tieghemii,0.56 
Sindoropsis letestui,0.56 
Staudtia stipitata,0.75
Stemonocoleus micranthus,0.56 
Sterculia oblonga,0.61
Sterculia rhinopetala,0.64
Strephonema pseudocola,0.56 
Strombosia glaucescens,0.80
Strombosia grandifolia,0.74 
Strombosiopsis tetrandra,0.63 
Swartzia fistuloides,0.82
Symphonia globulifera,0.58 
Syzygium cordatum,0.59 
Tarrietia densiflora,0.63
Tarrietia utilis,0.54 
Terminalia superba,0.45
Tessmania africana,0.85 
Testulea gabonensis,0.60
Tetraberlinia bifoliolata,0.54 
Tetraberlinia tubmaniana,0.60 
Tetrapleura tetraptera,0.50 
Tieghemella africana,0.55
Tieghemella heckelii,0.55 
Trema guineensis,0.40 
Trema sp.,0.40 
Trichilia heudelotii,0.50 
Trichilia prieureana,0.63 
Trichoscypha arborea,0.59 
Triplochiton scleroxylon,0.32
Uapaca spp.,0.60
Vepris undulata,0.70 
Vitex doniana,0.40
Xylopia aethiopica,0.50 
Xylopia chrysophylla,0.70 
Xylopia hypolambra,0.63 
Xylopia quintasii,0.70 
Xylopia staudtii,0.36 
