African Whitewood,Triplochiton scleroxylon,0.32,
African Yellow Wood,Terminalia ivorensis,0.54,
African Zebrawood,Microberlinia brazzavillensis,0.77,
Afrik Padouk,Pterocarpus soyauxii,0.64,
Afrikaans Padoek,Pterocarpus soyauxii,0.64,
Afrikanisches Korallenholz,Pterocarpus soyauxii,0.64,
Afrikanisches Padoik,Pterocarpus soyauxii,0.64,
Afrormosia,Pericopsis elata,0.65,2
Afun,Mansonia altissima,0.55,
Afzelia,Afzelia bipindensis,0.62,
Afzelia,Afzelia pachyloba,0.62,
Afzelia,Afzelia quanzensis,0.62,
Aga Umbrella Tree,Musanga cecropioides,0.23,
Agamokive,Tieghemella heckelii,0.60,
Agamokwe,Tieghemella heckelii,0.60,
Aganananga,Catostemma fragrans,0.66,
Aganokpe,Tieghemella heckelii,0.60,
Aganokwe,Mimusops heckelii,0.55,
Aganokwe,Tieghemella heckelii,0.60,
Agbe,Turraeanthus africanus,0.51,
Agbion,Piptadeniastrum africanum,0.63,
Agboin,Piptadeniastrum africanum,0.63,
Agbome,Musanga cecropioides,0.23,
Agbons,Irvingia gabonensis,0.76,
Agbouain,Turraeanthus africanus,0.51,
Agboue,Turraeanthus africanus,0.51,
Agboui,Turraeanthus africanus,0.51,
Aggai,Dillenia pentagyna,0.55,
Aghan,Terminalia superba,0.40,
Agidilif,Mitragyna stipulosa,0.53,
Aglaia,Aglaia gigantea,0.54,
Agofa,Mitragyna ciliata,0.52,
Agoho,Casuarina equisetifolia,0.87,
Agoko,Casuarina equisetifolia,0.87,
Agoo,Casuarina equisetifolia,0.87,
Agoso,Casuarina equisetifolia,0.87,
Agoumi,Musanga cecropioides,0.23,
Agracejo,Gossypiospermum praecox,0.77,
Agracejo de Monte,Gossypiospermum praecox,0.77,
Aguacatillo,Hieronyma alchorneoides,0.58,
Aguacatillo,Hyeronyma laxiflora,0.58,
Aguano,Sickingia salvadorense,0.65,
Aguano,Swietenia macrophylla,0.47,
Aguano,Swietenia mahagoni,0.57,
Aguaras,Tetragastris altissima,0.74,
Aguay,Pouteria pomifera,0.84,
Agui,Chlorophora excelsa,0.70,
Agulasing,Aglaia gigantea,0.54,
Agupanga,Pometia pinnata,0.60,
Agyemkama,Musanga cecropioides,0.23,
Ahorn,Acer campestre,0.55,
Ahsang,Vitex cofassus,0.67,
Ahuehuete,Taxodium distichum,0.46,
Ahuehuetl,Taxodium distichum,0.46,
Ai Fra Mas,Intsia bijuga,0.65,
Aiafai,Pometia pinnata,0.60,
Aibu,Syzygium buettnerianum,0.73,
Aimela,Syzygium buettnerianum,0.73,
Ainee,Artocarpus hirsuta,0.52,
Ainunura,Gonystylus macrophyllum,0.54,
Aisarufa,Syzygium buettnerianum,0.73,
Aiyanepelo,Artocarpus hirsuta,0.52,
Aiyo,Afzelia quanzensis,0.62,
Aizella,Intsia bijuga,0.65,
Aizella,Intsia palembanica,0.65,
Aj’,Caryocar villosum,0.76,
Ajama,Musanga cecropioides,0.23,
Ajo,Cordia alliodora,0.51,
Ajo ajo,Cordia alliodora,0.51,
Ajoajo,Cordia alliodora,0.51,
Ajuss,Triplochiton scleroxylon,0.32,
Akagaouan,Bombax brevicuspe,0.35,
Akam,Terminalia superba,0.40,
Akasanumu,Piptadeniastrum africanum,0.63,
Ake,Pterygota bequaertii,0.53,
Ake,Pterygota macrocarpa,0.54,
