Cordia alliodora,0.51
Cordia alliodora,0.51
Triplochiton scleroxylon,0.32
Bombax brevicuspe,0.35
Terminalia superba,0.4
Piptadeniastrum africanum,0.63
Pterygota bequaertii,0.53
Pterygota macrocarpa,0.54
Testulea gabonensis,0.76
Antiaris toxicaria,0.35
Chlorophora excelsa,0.7
Testulea gabonensis,0.76
Testulea gabonensis,0.76
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Pometia pinnata,0.6
Albizia procera,0.55
Albizia procera,0.55
Antiaris toxicaria,0.35
Pometia pinnata,0.6
Lophira alata,0.94
Lophira alata,0.94
Lophira alata,0.94
Beilschmiedia mannii,0.62
Brachystegia laurentii,0.57
Terminalia superba,0.4
Drypetes gossweileri,0.63
Mitragyna stipulosa,0.53
Lophira alata,0.94
Aleurites moluccana,0.14
Castanea sativa,0.51
Pterocarpus soyauxii,0.64
Cedrela odorata,0.39
Pometia pinnata,0.6
Oxystigma oxyphyllum,0.53
Tabebuia serratifolia,0.99
Pinus insularis,0.5
Albizia procera,0.55
Aglaia gigantea,0.54
Populus tremuloides,0.38
Tabebuia serratifolia,0.99
Canangium odoratum,0.28
Pometia pinnata,0.6
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Chamaecyparis nootkatensis,0.44
Chamaecyparis nootkatensis,0.44
Chamaecyparis nootkatensis,0.44
Larix laricina,0.53
Tsuga heterophylla,0.45
Chamaecyparis nootkatensis,0.44
Melia azedarach,0.51
Albizia procera,0.55
Tabebuia serratifolia,0.99
Aspidosperma desmanthum,0.65
Mora excelsa,0.89
Alnus glutinosa,0.41
Alnus nepalensis,0.26
Alnus rubra,0.41
Melia azedarach,0.51
Melia azedarach,0.51
Calophyllum inophyllum,0.55
Hymenaea courbaril,0.83
Hymenaea courbaril,0.83
Hymenaea courbaril,0.83
Prioria copaifera,0.42
Afzelia bipindensis,0.62
Afzelia pachyloba,0.62
Afzelia quanzensis,0.62
Melia azedarach,0.51
Canangium odoratum,0.28
Microberlinia brazzavillensis,0.77
Liquidambar styraciflua,0.52
Ulmus glabra,0.53
Agathis borneensis,0.41
Agathis philippinensis,0.33
Astronium graveolens,0.89
Astronium graveolens,0.8
Caryocar villosum,0.76
Caryocar villosum,0.76
Caryocar villosum,0.76
Dipteryx odorata,0.82
Terminalia amazonia,0.76
Terminalia amazonica,0.76
Manilkara bidentata,0.95
Shorea contorta,0.37
Shorea leprosula,0.5
Shorea leptoclados,0.38
Shorea smithiana,0.43
Caryocar villosum,0.76
Excoecaria agallocha,0.42
Lovoa trichiliodes,0.46
Bombax brevicuspe,0.35
Bombax chevalieri,0.51
Pometia pinnata,0.6
Abies amabilis,0.43
Abies lasiocarpa,0.32
Tabebuia serratifolia,0.99
Bassia latifolia,0.82
Abies amabilis,0.43
Tetragastris altissima,0.74
Prioria copaifera,0.42
Prioria copaifera,0.42
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Brosimum rubescens,0.63
Spathodea campanulata,0.25
Peltogyne porphyrocardia,0.69
Peltogyne venosa,0.69
Peltogyne porphyrocardia,0.69
Peltogyne venosa,0.69
Peltogyne venosa,0.69
Plathymenia reticulata,0.56
Plathymenia reticulata,0.56
Cordia alliodora,0.51
Terminalia amazonia,0.76
Terminalia amazonica,0.76
Terminalia amazonia,0.76
Terminalia amazonia,0.76
Tetramerista glabra,0.73
Musanga cecropioides,0.23
Guibourtia ehie,0.71
Guibourtia ehie,0.71
Pterocarpus angolensis,0.59
Mitragyna stipulosa,0.53
Pterocarpus indicus,0.57
Koordersiodendron pinnatum,0.71
Amburana cearensis,0.58
Amburana cearensis,0.58
Plathymenia reticulata,0.56
Fraxinus americana,0.6
Fraxinus pennsylvanica,0.56
Tilia americana,0.37
Fagus grandifolia,0.64
Betula alleghaniensis,0.62
Betula papyrifera,0.55
Fraxinus nigra,0.49
Prunus serotina,0.5
Juglans nigra,0.55
Castanea dentata,0.43
Diospyros virginiana,0.71
Ulmus americana,0.5
Tsuga canadensis,0.4
Ilex opaca,0.55
Carpinus caroliniana,0.64
Larix laricina,0.53
Cordia alliodora,0.51
Tilia americana,0.37
Tilia americana,0.37
Swietenia macrophylla,0.47
Pinus elliottii,0.59
Pinus palustris,0.59
Platanus occidentalis,0.49
Platanus occidentalis,0.49
Platanus occidentalis,0.49
Liquidambar styraciflua,0.52
Quercus rubra,0.63
Pinus resinosa,0.46
Liquidambar styraciflua,0.52
Platanus occidentalis,0.49
Liriodendron tulipifera,0.42
Juglans nigra,0.55
Platanus occidentalis,0.49
Betula papyrifera,0.55
Liriodendron tulipifera,0.42
Pinus strobus,0.35
Swietenia macrophylla,0.47
Swietenia macrophylla,0.47
Tetragastris altissima,0.74
Terminalia ivorensis,0.54
Pygeum turnerianum,0.44
Microberlinia brazzavillensis,0.77
Koompassia malaccensis,0.76
Terminalia ivorensis,0.54
Pygeum turnerianum,0.44
Koordersiodendron pinnatum,0.71
Podocarpus guatemalensis,0.54
Podocarpus neriifolia,0.48
Terminalia superba,0.4
Virola surinamensis,0.51
Lovoa trichiliodes,0.46
Diospyros pyrrhocarpa,0.69
Diospyros inclusa,0.7
Canangium odoratum,0.28
Canangium odoratum,0.28
Terminalia amazonia,0.76
Vochysia guianensis,0.52
Hyeronyma laxiflora,0.58
Albizia procera,0.55
Pterygota bequaertii,0.53
Pterygota macrocarpa,0.54
Dipterocarpus grandiflorus,0.68
Pterocarpus dalbergioides,0.65
Pterocarpus indicus,0.57
Pterocarpus indicus,0.57
Hopea odorata,0.63
Mitragyna ciliata,0.52
Mitragyna ciliata,0.52
Carapa guianensis,0.57
Didelotia brevipaniculata,0.54
Irvingia gabonensis,0.76
Irvingia gabonensis,0.76
Irvingia gabonensis,0.76
Antiaris toxicaria,0.35
Didelotia brevipaniculata,0.54
Turraeanthus africanus,0.51
Aningeria altissima,0.42
Aningeria dombeyi,0.39
Aningeria robusta,0.42
Melia azedarach,0.51
Musanga cecropioides,0.23
Poga oleosa,0.39
Phoebe hainesiana,0.43
Alangium meyeri,0.56
Beilschmiedia mannii,0.62
Irvingia gabonensis,0.76
Amburana cearensis,0.58
Marmaroxylon racemosum,1.07
Marmaroxylon racemosum,1.07
Intsia palembanica,0.65
Staudtia stipitata,0.79
Terminalia amazonia,0.76
Pterocarpus indicus,0.57
Pterocarpus indicus,0.57
Dipterocarpus basilanicus,0.54
Dipterocarpus warburgii,0.53
Pterocarpus marsupium,0.71
Pterocarpus vernalis,0.63
Turraeanthus africanus,0.51
Aniba duckei,0.56
Terminalia ivorensis,0.54
Aningeria altissima,0.42
Aningeria dombeyi,0.39
Aningeria robusta,0.42
Hymenaea courbaril,0.83
Albizia procera,0.55
Aningeria altissima,0.42
Aningeria dombeyi,0.39
Aningeria robusta,0.42
Aningeria altissima,0.42
Aningeria altissima,0.42
Aningeria dombeyi,0.39
Aningeria robusta,0.42
Aningeria dombeyi,0.39
Aningeria robusta,0.42
Artocarpus hirsuta,0.52
Artocarpus hirsuta,0.52
Vitex cofassus,0.67
Aleurites moluccana,0.14
Guibourtia ehie,0.71
Millettia laurentii,0.81
Turpinia ovalifolia,0.36
Hieronyma alchorneoides,0.58
Xanthophyllum excelsum,0.67
Anisoptera costata,0.52
Antiaris toxicaria,0.35
Swietenia mahagoni,0.57
Artocarpus hirsuta,0.52
Artocarpus ovata,0.46
Turraeanthus africanus,0.51
Mansonia altissima,0.55
Tabebuia serratifolia,0.99
Afzelia bipindensis,0.62
Afzelia pachyloba,0.62
Afzelia quanzensis,0.62
Turraeanthus africanus,0.51
Turraeanthus africanus,0.51
Turraeanthus africanus,0.51
Mammea africana,0.69
Turraeanthus africanus,0.51
Diplodiscus paniculatus,0.62
Morus mesozygia,0.71
Pygeum turnerianum,0.44
Dipterocarpus basilanicus,0.54
Dipterocarpus grandiflorus,0.68
Dipterocarpus warburgii,0.53
Micropholis guianensis,0.67
Shorea negrosensis,0.59
Lovoa trichiliodes,0.46
Turraeanthus africanus,0.51
Malus pumila,0.64
Mansonia altissima,0.55
Mammea americana,0.74
Mansonia altissima,0.55
Calophyllum inophyllum,0.55
Hieronyma alchorneoides,0.58
Hyeronyma laxiflora,0.58
Swietenia macrophylla,0.47
Swietenia macrophylla,0.47
Tabebuia serratifolia,0.99
Terminalia amazonia,0.76
Aspidosperma desmanthum,0.65
Minquartia guianensis,0.83
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Minquartia guianensis,0.83
Aglaia gigantea,0.54
Pterocarpus soyauxii,0.64
Swietenia macrophylla,0.47
Aspidosperma desmanthum,0.65
Aspidosperma desmanthum,0.65
Triplochiton scleroxylon,0.32
Sickingia salvadorense,0.65
Pygeum africanum,0.61
Minquartia guianensis,0.83
Astronium graveolens,0.89
Astronium graveolens,0.8
Hymenaea courbaril,0.83
Minquartia guianensis,0.83
Araucaria angustifolia,0.49
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Caryocar villosum,0.76
Aleurites moluccana,0.14
Melia azedarach,0.51
Cordia alliodora,0.51
Hura crepitans,0.4
Thuja occidentalis,0.31
Thuja occidentalis,0.31
Thuja plicata,0.32
Hura crepitans,0.4
Melia azedarach,0.51
Arbutus menziesii,0.64
Pinus sylvestris,0.45
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Hura crepitans,0.4
Hura crepitans,0.4
Catostemma fragrans,0.66
Triplochiton scleroxylon,0.32
Hura crepitans,0.4
Hieronyma alchorneoides,0.58
Quercus alba,0.68
Picea engelmannii,0.35
Quercus alba,0.68
Terminalia arjuna,0.71
Quercus arkansana,0.53
Quercus arkansana,0.53
Anisoptera costata,0.52
Astronium graveolens,0.89
Astronium graveolens,0.8
Astronium graveolens,0.89
Astronium graveolens,0.8
Terminalia amazonica,0.76
Casuarina equisetifolia,0.87
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Tabebuia serratifolia,0.99
Campnosperma brevipetiolata,0.33
Casuarina equisetifolia,0.87
Tabebuia serratifolia,0.99
Shorea negrosensis,0.59
Aglaia gigantea,0.54
Hymenaea courbaril,0.83
Tieghemella heckelii,0.6
Mangifera altissima,0.52
Pometia pinnata,0.6
Aningeria altissima,0.42
Populus ciliata,0.37
Vitex cofassus,0.67
Pouteria izabalensis,0.64
Bridelia aubrevillei,0.59
Fraxinus americana,0.6
Fraxinus excelsior,0.58
Fraxinus nigra,0.49
Fraxinus pennsylvanica,0.56
Acer negundo,0.45
Hura crepitans,0.4
Anisoptera costata,0.52
Lophira alata,0.94
Populus tremuloides,0.38
Populus tremuloides,0.38
Hura crepitans,0.4
Turraeanthus africanus,0.51
Buxus sempervirens,0.83
Musanga cecropioides,0.23
Musanga cecropioides,0.23
